Stride,Time (cycles)_L1_Enabled,Time (cycles)_L1_Disabled
1,233.146484375,233.060546875
2,233.0361328125,233.05859375
3,233.0517578125,233.056640625
4,233.0458984375,233.03515625
5,233.0703125,233.052734375
6,233.048828125,233.0537109375
7,233.0625,233.064453125
8,238.1708984375,238.1650390625
9,238.1826171875,238.14453125
10,238.15234375,238.185546875
11,238.1748046875,238.1640625
12,233.04296875,233.029296875
13,233.0302734375,233.046875
14,238.1806640625,238.1787109375
15,238.1669921875,238.146484375
16,232.9990234375,233.0078125
17,232.9951171875,232.9892578125
18,237.1787109375,237.1767578125
19,237.171875,237.1630859375
20,233.0,233.0126953125
21,233.01953125,232.9921875
22,237.1962890625,237.1982421875
23,227.8955078125,227.8642578125
24,233.0244140625,233.060546875
25,233.0390625,233.0390625
26,227.8671875,227.853515625
27,233.060546875,233.0390625
28,229.9267578125,229.9189453125
29,236.1904296875,236.1728515625
30,229.9375,229.9345703125
31,236.1396484375,236.1689453125
32,238.162109375,238.166015625
33,233.0654296875,233.0458984375
34,238.1640625,238.166015625
35,233.064453125,233.0380859375
36,237.1767578125,237.171875
37,232.994140625,233.009765625
38,237.2001953125,237.1708984375
39,232.9970703125,232.9775390625
40,227.876953125,227.875
41,233.0419921875,233.0703125
42,227.8759765625,227.88671875
43,236.1650390625,236.15234375
44,236.171875,236.158203125
45,229.9306640625,229.9267578125
46,233.0263671875,233.0546875
47,227.869140625,227.8720703125
48,229.91796875,229.935546875
49,236.1640625,236.1572265625
50,236.17578125,236.162109375
51,233.04296875,233.033203125
52,233.056640625,233.03515625
53,238.16796875,238.1806640625
54,237.1904296875,237.162109375
55,237.216796875,237.185546875
56,227.8828125,227.8740234375
57,233.0478515625,233.056640625
58,236.169921875,236.1572265625
59,236.1767578125,236.16796875
60,238.1572265625,238.1728515625
61,238.1875,238.1474609375
62,237.181640625,237.1904296875
63,237.1982421875,237.1982421875
64,238.16015625,238.2001953125
65,233.04296875,233.056640625
66,237.8115234375,237.8349609375
67,233.5029296875,233.4912109375
68,238.494140625,238.51953125
69,235.1806640625,235.1708984375
70,237.8017578125,237.8154296875
71,235.04296875,235.046875
72,235.451171875,235.439453125
73,233.109375,233.125
74,236.142578125,236.171875
75,234.76171875,234.7275390625
76,233.181640625,233.197265625
77,231.208984375,231.18359375
78,237.2587890625,237.251953125
79,232.205078125,232.0126953125
80,237.369140625,237.1982421875
81,237.3525390625,237.1708984375
82,230.1943359375,229.96484375
83,230.2109375,229.947265625
84,235.3671875,235.1162109375
85,232.2080078125,231.99609375
86,239.4111328125,239.2001953125
87,231.2568359375,230.904296875
88,233.2705078125,233.0322265625
89,233.4541015625,233.05078125
90,231.1865234375,230.9580078125
91,233.2724609375,232.98828125
92,238.4560546875,238.1708984375
93,233.2724609375,233.037109375
94,236.3662109375,236.1484375
95,228.0625,227.873046875
96,233.2138671875,233.0126953125
97,237.421875,237.1875
98,233.275390625,233.068359375
99,236.345703125,236.169921875
100,228.07421875,227.875
101,233.205078125,233.0634765625
102,236.396484375,236.173828125
103,228.087890625,227.8935546875
104,233.224609375,232.990234375
105,238.392578125,238.181640625
106,233.275390625,233.068359375
107,230.1123046875,229.935546875
108,228.076171875,227.87890625
109,237.5185546875,237.193359375
110,238.3984375,238.150390625
111,231.2353515625,230.9501953125
112,230.1806640625,229.9541015625
113,233.2705078125,233.046875
114,237.380859375,237.1533203125
115,232.294921875,232.0166015625
116,235.37109375,235.134765625
117,230.1875,229.9658203125
118,231.1015625,230.9130859375
119,232.212890625,232.0029296875
120,237.3779296875,237.2041015625
121,232.212890625,232.0146484375
122,231.205078125,230.9375
123,230.1826171875,229.943359375
124,237.3681640625,237.1611328125
125,239.4072265625,239.2294921875
126,235.4013671875,235.142578125
127,233.275390625,233.0498046875
128,237.3857421875,237.1884765625
